Positive	Negative	Text
3	-2	### SUMMARY Fixes: #14672  The function `postForm` introduced in PR #9345 has the target set to `_blank` by default. This PR specifies `_self` instead. There does not seem to be any obvious issue in doing so. Input from @graceguo-supercat is appreciated as a double check.  ### TESTING INSTRUCTIONS 1. Open a dashboard 2. Choose a chart and select "View Chart in Explore" 3. Make sure the chart Explore page is opened in the same window  ### ADDITIONAL INFORMATION <!--- Check any relevant boxes with "x" --> <!--- HINT: Include "Fixes #nnn" if you are fixing an existing issue --> - [x] Has associated issue: #14672 - [ ] Changes UI - [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))   - [ ] Migration is atomic, supports rollback & is backwards-compatible   - [ ] Confirm DB migration upgrade and downgrade tested   - [ ] Runtime estimates and downtime expectations provided - [ ] Introduces new feature or API - [ ] Removes existing feature or API  
2	-1	# [Codecov](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) Report > Merging [#14778](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (169de6d) into [master](https://codecov.io/gh/apache/superset/commit/281d637674ff8c75faea99ae5fc84d3ef6576dce?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (281d637) will **not change** coverage. > The diff coverage is `0.00%`.  > :exclamation: Current head 169de6d differs from pull request most recent head 4dca748. Consider uploading reports for the commit 4dca748 to get more accurate results [![Impacted file tree graph](https://codecov.io/gh/apache/superset/pull/14778/graphs/tree.svg?width=650&height=150&src=pr&token=KsB0fHcx6l&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)  ```diff @@           Coverage Diff           @@ ##           master   #14778   +/-   ## =======================================   Coverage   77.57%   77.57%            =======================================   Files         963      963              Lines       49290    49290              Branches     6205     6205            =======================================   Hits        38235    38235              Misses      10854    10854              Partials      201      201            ```  | Flag | Coverage Δ | | |---|---|---| | javascript | `72.43% <0.00%> (ø)` | |  Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#carryforward-flags-in-the-pull-request-comment) to find out more.  | [Impacted Files](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | Coverage Δ | | |---|---|---| | [...uperset-frontend/src/explore/exploreUtils/index.js](https://codecov.io/gh/apache/superset/pull/14778/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2V4cGxvcmUvZXhwbG9yZVV0aWxzL2luZGV4Lmpz) | `66.25% <0.00%> (ø)` | |  ------  [Continue to review full report at Codecov](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). > **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) > `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data` > Powered by [Codecov](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=footer&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Last update [281d637...4dca748](https://codecov.io/gh/apache/superset/pull/14778?src=pr&el=lastupdated&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation).  
1	-1	/testenv up  
2	-1	@junlincc Ephemeral environment spinning up at http://34.218.44.244:8080. Credentials are `admin`/`admin`. Please allow several minutes for bootstrapping and startup. 
2	-2	Thanks for the PR. Please see video of Before and After behavior in select of Dashboard->Explore->Dashboard flow   https://user-images.githubusercontent.com/67837651/119709552-31da2200-be12-11eb-9cf6-f75e93948dc7.mov  Previous behavior. View chart in Explore takes user to Explore, user revise the chart in Explore and can save it back to same dashboard( preselect in the dropdown). i dont think your PR changed the behavior, just wonder why the source dashboard is not preselected anymore.  
1	-3	@junlincc I don't see the problem that you are describing but I see a worse problem.  If you open up any dashboard it will always pre-select the same dashboard, independently from the actual dashboard that you have opened. This is not related to this PR as this problem is reproducible on master and in this branch also now that I have merged it with master.  See video.  https://user-images.githubusercontent.com/60598000/119867313-6b9c4d00-bf26-11eb-96d5-9db751c9d576.mp4   Please let me know if you can reproduce it, we should file a separate issue.  
1	-1	Ephemeral environment shutdown and build artifacts deleted. 
1	-1	Apologies for the late response. @geido @villebro et al. could one provide context as why we want to explore a chart in place as opposed to in a new tab? I think many users prefer opening a chart in a new tab whilst maintaining reference to the dashboard—especially when one wishes to open multiple charts (which isn't possible with this change). Additionally per @villebro's comment the behavior of opening a chart in a new tab is consistent with "Run in SQL Lab" etc. 
1	-2	I didn't notice this PR till today....Airbnb users preferred to open "View Chart in Explore", because our dashboard is large, many charts, many tabs. A user may open a dashboard, then click a few tabs and nested sub tabs,  and then click View chart. Open the chart in the same window will make user lost their context. **Please revert this PR**.  I would like to know what's the benefit to open chart in the same window? 
2	-3	@graceguo-supercat @john-bodley @junlincc   The reason for the change was that users were annoyed by the proliferation of new tabs, when they felt they _weren't_ necessary.   Rather than reverting the PR, how about one of two means to support either behavior?  1) Make it an actual link so that users can Command-click or right-click the link to choose to open it in a new window? 2) Add a configuration variable in config.py so that the admin of the installation can override it?  If neither of those work, or take too long, I suppose we can revert it and then carry it forward in a new PR if needed. 
