Positive	Negative	Text
3	-1	### SUMMARY This pr fixes the download as image for dashboard.   ### BEFORE/AFTER SCREENSHOTS OR ANIMATED GIF  before    https://user-images.githubusercontent.com/17326228/124843685-4e0bcb80-df47-11eb-9310-6f0b6ca4810c.mov  after  https://user-images.githubusercontent.com/17326228/124843281-7e9f3580-df46-11eb-8e65-2caaf7ed9ca0.mov  closes: https://github.com/apache/superset/issues/15536  ### TESTING INSTRUCTIONS Go to dashboard and click the download as image for the dashboard.  ### ADDITIONAL INFORMATION <!--- Check any relevant boxes with "x" --> <!--- HINT: Include "Fixes #nnn" if you are fixing an existing issue --> - [x ] Has associated issue: https://github.com/apache/superset/issues/15536 - [ ] Changes UI - [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))   - [ ] Migration is atomic, supports rollback & is backwards-compatible   - [ ] Confirm DB migration upgrade and downgrade tested   - [ ] Runtime estimates and downtime expectations provided - [ ] Introduces new feature or API - [ ] Removes existing feature or API  
1	-1	# [Codecov](https://codecov.io/gh/apache/superset/pull/15581?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) Report > Merging [#15581](https://codecov.io/gh/apache/superset/pull/15581?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (3b616cf) into [master](https://codecov.io/gh/apache/superset/commit/ae160f7f2137eb3334eed13682db886498fe0db9?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (ae160f7) will **not change** coverage. > The diff coverage is `n/a`.  [![Impacted file tree graph](https://codecov.io/gh/apache/superset/pull/15581/graphs/tree.svg?width=650&height=150&src=pr&token=KsB0fHcx6l&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)](https://codecov.io/gh/apache/superset/pull/15581?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)  ```diff @@           Coverage Diff           @@ ##           master   #15581   +/-   ## =======================================   Coverage   76.87%   76.87%            =======================================   Files         976      976              Lines       51293    51293              Branches     6907     6907            =======================================   Hits        39431    39431              Misses      11643    11643              Partials      219      219            ```  | Flag | Coverage Δ | | |---|---|---| | javascript | `71.42% <ø> (ø)` | |  Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#carryforward-flags-in-the-pull-request-comment) to find out more.  | [Impacted Files](https://codecov.io/gh/apache/superset/pull/15581?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | Coverage Δ | | |---|---|---| | [.../components/Header/HeaderActionsDropdown/index.jsx](https://codecov.io/gh/apache/superset/pull/15581/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL0hlYWRlci9IZWFkZXJBY3Rpb25zRHJvcGRvd24vaW5kZXguanN4) | `67.50% <ø> (ø)` | |  ------  [Continue to review full report at Codecov](https://codecov.io/gh/apache/superset/pull/15581?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). > **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) > `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data` > Powered by [Codecov](https://codecov.io/gh/apache/superset/pull/15581?src=pr&el=footer&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Last update [ae160f7...3b616cf](https://codecov.io/gh/apache/superset/pull/15581?src=pr&el=lastupdated&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation).  
1	-1	Works for me  
1	-1	/testenv up 
2	-1	@michael-s-molina Ephemeral environment spinning up at http://54.68.81.124:8080. Credentials are `admin`/`admin`. Please allow several minutes for bootstrapping and startup. 
1	-1	Ephemeral environment shutdown and build artifacts deleted. 
3	-1	Thank you @pkdotson and @michael-s-molina for the quick fix and review! 
1	-1	🏷️ 2021.25 
1	-1	🏷️ 2021.27 
1	-1	Verified this PR in master locally 👍🏻 
